,Klasse,Lange/Breite,Anzahl_an_Konturen_gefunden_1,Anzahl_an_Konturen_gefunden_2
0,0,1.5580080416922195,13,184
1,0,3.4493927125506074,5,305
2,0,1.6932032406531825,5,185
3,0,1.6266634873017103,26,124
4,0,3.3168912506252948,4,108
5,0,3.316389401398762,6,53
6,0,2.832863241199254,28,81
7,0,3.3959321818264256,3,192
8,1,1.148789653148219,11,64
9,1,1.4266146444784915,12,129
10,1,1.873514425194108,20,137
11,1,2.6262597297717503,154,771
12,1,1.369447603726994,176,1000
13,1,1.1502096096766026,2,180
14,1,2.5588738358700893,3,203
15,1,1.9374972766181877,25,132
