,Rel_BreitGroß,RelSpitze_oben,RelSpitze_unten,Anzahl_Linie,Anzahl_Kreis,Label
0,0.5708622398414271,0.8940972222222222,1.0,13,0,0
1,0.413135593220339,0.8102564102564103,0.8940170940170941,26,1,0
2,0.7769516728624535,0.8133971291866029,0.8588516746411483,7,1,0
3,0.5588235294117647,0.4473684210526316,0.7236842105263158,18,1,0
4,0.7014925373134329,0.2583586626139818,0.5440729483282675,2,1,0
5,0.8213367609254498,0.8716744913928013,0.9092331768388107,1,0,0
6,0.6582278481012658,0.8286713286713286,0.9073426573426573,5,1,0
7,0.6656976744186046,0.5997088791848617,0.9126637554585153,30,0,0
8,0.6590330788804071,0.9922779922779923,0.9961389961389961,0,1,1
9,0.3009259259259259,0.4269230769230769,0.3961538461538461,12,1,1
10,0.6082621082621082,0.9625292740046838,1.0,24,1,1
11,0.6309859154929578,0.6272321428571429,0.9308035714285714,14,1,1
12,0.3886966551326413,0.6676557863501483,0.8694362017804155,28,1,1
13,0.336018411967779,1.0,0.9075342465753424,12,1,1
14,0.3427299703264095,0.7922077922077922,0.670995670995671,1,1,1
15,0.4030197444831591,0.521613832853026,0.6657060518731989,13,1,1
16,0.3173076923076923,0.569023569023569,0.6195286195286195,19,1,1
17,0.451539338654504,0.3888888888888889,0.6212121212121212,25,0,1
18,0.3147153598281418,0.931740614334471,0.8156996587030717,24,0,1
19,0.4991482112436116,1.0,0.8839590443686007,6,1,1
20,0.499184339314845,0.6699346405228758,0.5686274509803921,16,0,1
21,0.3593314763231198,0.8372093023255814,1.0,2,1,1
22,0.5878489326765188,0.8994413407821229,0.8547486033519553,9,1,1
23,0.4249578414839797,0.7420634920634921,0.5277777777777778,7,0,1
24,0.3827433628318584,0.3583815028901734,0.5664739884393064,10,1,1
25,0.3935483870967742,0.7639344262295082,0.9737704918032787,21,1,1
26,0.5952782462057336,0.6203966005665722,0.7677053824362606,2,0,1
27,0.3401430030643514,0.2972972972972973,0.5255255255255256,9,1,1
28,0.4362606232294617,0.3636363636363636,0.5909090909090909,3,1,1
29,0.6407185628742516,0.2492211838006231,0.5482866043613707,3,0,1
30,0.2404426559356137,1.0,0.9330543933054394,28,0,1
31,0.3595166163141994,0.4285714285714285,0.6750700280112045,13,1,1
32,0.3685800604229607,1.0,0.3743169398907104,14,1,1
33,0.5463182897862233,0.3130434782608696,0.6065217391304348,3,0,1
34,0.328236493374108,0.4751552795031056,0.3850931677018634,19,1,1
35,0.5837264150943396,0.8262626262626263,1.0,17,0,1
36,0.582089552238806,0.7841880341880342,1.0,15,1,1
37,0.3026584867075665,0.6351351351351351,0.9324324324324325,9,0,1
38,0.8524590163934426,0.4825174825174825,0.1346153846153846,4,0,2
39,0.5390898483080513,0.3181818181818182,0.341991341991342,3,0,2
40,0.582441113490364,0.7757352941176471,0.5716911764705882,56,0,2
41,0.3826666666666667,0.5853658536585366,0.2473867595818815,7,0,2
42,0.3907514450867052,0.5710059171597633,0.227810650887574,8,0,2
43,0.5240572171651495,0.7022332506203474,0.5359801488833746,13,0,2
